,NAME OF COMPANY,SYMBOL,Sscore,beta,cagr,currency,debtToEquity,earningsGrowth,ebitda,ebitdaMargins,financialCurrency,grossMargins,grossProfits,kendall,marketCap,market_cagr,net_cagr,operatingMargins,pearson,period,price,returns,revenueGrowth,revenuePerShare,sector,sharp_ratio,spearman,std,totalCash,totalCashPerShare,totalDebt,totalRevenue,volitility
1813,Venus Pipes & Tubes Limited,VENUSPIPES.NS,4028450276.8561945,0.28098801076012436,1.6324415755938788,INR,17.764,0.018,616497472.0,0.12674,INR,0.19881001,719160000.0,0.1288644015916743,18614523904.0,0.14180239692743934,1.4906391786664395,0.12405,0.127215689150628,0.9808219178082191,915.6500244140625,0.9845101567977373,0.281,267.654,Basic Materials,0.21641435997138433,0.19148012665151262,0.018052343370447033,717440000.0,36.709,530270016.0,4864159744.0,4.549190529352652
1814,Venus Remedies Limited,VENUSREM.NS,8098782.09306113,0.7212830888543231,0.02690105599877568,INR,9.379,-0.417,377723744.0,0.06964,INR,0.37459,2138134000.0,0.19101941235524214,2691445504.0,0.1260966657147795,-0.09919560971600383,0.019609999,0.2147890978858841,11.378082191780821,201.35000610351562,0.02715431093519008,-0.069,407.039,Healthcare,0.00300908269590627,0.2756009997275196,0.03580998364397448,649500032.0,48.564,422800000.0,5424144896.0,9.024115878281568
1815,Veranda Learning Solutions Limited,VERANDA.NS,627977193.0997369,0.776007076808559,0.520922764459103,INR,48.358,,-619540992.0,-0.43613,INR,0.59430003,401375000.0,0.14795681290146234,12902823936.0,0.03999706318066254,0.4809257012784405,-0.56746,0.1981244513221296,1.0986301369863014,208.0500030517578,0.4283763330393071,0.571,28.504,Consumer Defensive,0.04866974828259308,0.21184791259677305,0.03492736542665235,383868000.0,6.348,853120000.0,1420529024.0,8.801696087516392
1816,Vertoz Advertising Limited,VERTOZ.NS,83066002.358916,0.7560863019253726,0.27346304926888876,INR,8.249,1.242,180708000.0,0.21574,INR,0.30762,,0.16291984896350326,2913497856.0,0.11635985035189877,0.15710319891698998,0.18367,0.26626649923040996,5.47945205479452,243.39999389648438,0.24707615861894416,2.241,69.974,Communication Services,0.028510747721283373,0.23949224169338007,0.03438916988377175,64040000.0,5.353,84517000.0,837619968.0,8.66607081071048
1817,Vesuvius India Limited,VESUVIUS.NS,1871544553.7341735,0.5257487741925475,0.20648690249245316,INR,,0.834,1934875008.0,0.1378,INR,0.39428002,5152600000.0,0.14962073117003935,48465055744.0,0.1260966657147795,0.08039023677767365,0.116450004,0.28426981330991036,11.378082191780821,2387.89990234375,0.19201726627204566,0.214,691.801,Industrials,0.03861637059946788,0.22051272336455052,0.019731871924489552,,,,14041499648.0,4.972431724971367
1818,Veto Switchgears And Cables Limited,VETO.NS,11339517.020947505,0.9325993973161388,0.04566278260099521,INR,22.633,-0.423,386049248.0,0.13323,INR,0.2911,757475000.0,0.21160553098796217,2029057280.0,0.10659514028243078,-0.06093235768143557,0.12275,0.3199341511627679,8.054794520547945,106.1500015258789,0.04558994807816187,0.031,151.78,Industrials,0.0055885642720483,0.30965507837172646,0.03237190869907466,202252000.0,10.638,516057984.0,2897673984.0,8.157720992166814
1819,V-Guard Industries Limited,VGUARD.NS,6620996710.737828,0.5850713067728776,0.3681533415167728,INR,6.257,-0.262,3220486912.0,0.07955,INR,0.28806,10585665000.0,0.21173332681776016,110047272960.0,0.1260966657147795,0.2420566758019933,0.06886,0.29534225474038767,11.378082191780821,254.0,0.32065002478207566,0.013,93.724,Industrials,0.060165023018284414,0.31037267449694156,0.021148844784377643,1705790976.0,3.951,913731008.0,40481071104.0,5.329508885663166
1820,Vardhman Holdings Limited,VHL.NS,206551315.03247246,0.57645490051994,0.18218809688841664,INR,,-0.696,160388752.0,0.81805,INR,1.0,349261000.0,0.13296439031509208,8534177792.0,0.1260966657147795,0.05609143117363713,0.81769997,0.2190823550357333,11.378082191780821,2674.0,0.1712050011931796,-0.525,61.432,Financial Services,0.024202837117606707,0.19621410826573846,0.028070466370057577,264000000.0,82.693,0.0,196060992.0,7.07375752525451
1821,Viceroy Hotels Limited,VICEROY.NS,-2046785.4567491277,0.662590977764456,-0.1766077204074219,INR,,,-171042080.0,-0.18825,INR,0.29184,10220141.0,0.15802448716039702,84810400.0,0.1260966657147795,-0.3027043861222014,-0.28164,0.21660847818194526,11.378082191780821,2.0,-0.19877863384447897,0.24,21.433,Consumer Cyclical,-0.024133661163597008,0.22889799411569037,0.032684808873809874,121564144.0,2.869,5112761856.0,908572608.0,8.236571836200088
1822,Vidhi Specialty Food Ingredients Limited,VIDHIING.NS,648476490.6246068,0.8940106770962755,0.2974324008714704,INR,27.966,-0.55,636390272.0,0.13849,INR,0.24294001,1313424000.0,0.2125675190614646,18287362048.0,0.13795551350457358,0.1594768873668968,0.13146,0.3335472026273427,7.210958904109589,366.1499938964844,0.26612243887113224,-0.463,91.746,Basic Materials,0.035460362676831655,0.3106357059467816,0.02978089744078587,139570000.0,2.785,660812992.0,4595276800.0,7.5047861550780395
